,stop_id,stop_name,stop_lat,stop_lon,starttime,endtime,route_id,route_type
4692,14370,Dodge & Greenleaf,42.03736048,-87.69900883,19424,77117,93,3
4693,14372,Dodge & Crain,42.03919092,-87.69901161,53637,67707,206,3
4694,14372,Dodge & Crain,42.03919092,-87.69901161,19452,77149,93,3
4695,14374,Dodge & Dempster,42.04094315,-87.69901517,53662,67738,206,3
4696,14374,Dodge & Dempster,42.04094315,-87.69901517,19480,77181,93,3
4697,14376,Dodge & Greenwood,42.04260128,-87.69897769,53687,67769,206,3
4698,14376,Dodge & Greenwood,42.04260128,-87.69897769,19510,77213,93,3
4699,13112,Dodge & Lake,42.04409494,-87.69899215,53701,67787,206,3
4700,13112,Dodge & Lake,42.04409494,-87.69899215,19526,77231,93,3
4701,6968,North Riverside Mall,41.84806845,-87.80931096,840,87180,21,3
4702,16112,North Riverside & Cermak,41.85010618,-87.80830713,874,86074,21,3
4703,6970,7250 W Cermak,41.85021921,-87.80601209,900,86100,21,3
4704,6971,Cermak & Harlem,41.85025765,-87.80317048,931,86131,21,3
4705,6972,Cermak & Wisconsin,41.85027863,-87.80114534,950,86150,21,3
4706,6973,Cermak & Home,41.85038741,-87.79865089,977,86177,21,3
4707,15863,Cermak & Oak Park,41.85046468,-87.79299878,1040,86240,21,3
4708,6975,Cermak & Riverside Drive,41.850524,-87.790826,1057,86257,21,3
4709,6976,Cermak & East,41.85051717,-87.78866727,1083,86283,21,3
4710,6977,Cermak & Ridgeland,41.85061692,-87.78371594,1136,86336,21,3
4711,6978,Cermak & Lombard,41.85065508,-87.77877185,1195,86395,21,3
4712,6979,Cermak & Austin,41.85076995,-87.77391793,1255,86455,21,3
4713,6980,Cermak & 58th Avenue,41.85083714,-87.76901519,1316,86516,21,3
4714,6981,Cermak & Central,41.85088144,-87.76408686,1376,86576,21,3
4715,6900,Cermak & 54th Avenue,41.85095693,-87.75920497,1437,86637,21,3
4716,6901,Cermak & Laramie (Pink Line),41.85102149,-87.75433483,1496,86696,21,3
4717,6901,Cermak & Laramie (Pink Line),41.85102149,-87.75433483,5180,12380,60,3
4718,6902,Cermak & 50th Avenue,41.85103392,-87.74951617,1556,86756,21,3
4719,6902,Cermak & 50th Avenue,41.85103392,-87.74951617,5239,12439,60,3
4720,6903,Cermak & 49th Avenue (Pink Line),41.85115493,-87.74694561,1586,86786,21,3
4721,6903,Cermak & 49th Avenue (Pink Line),41.85115493,-87.74694561,5267,12467,60,3
4722,14879,Cermak & Cicero,41.85115268,-87.7439659,1623,86820,21,3
4723,17124,Cermak & 47th Avenue,41.85118804,-87.74200964,1652,85652,21,3
4724,17124,Cermak & 47th Avenue,41.85118804,-87.74200964,20249,87209,54B,3
4725,6906,4632 W Cermak,41.8512216,-87.74026414,1673,85673,21,3
4726,6906,4632 W Cermak,41.8512216,-87.74026414,20267,87227,54B,3
4727,6907,4542 W Cermak,41.85121113,-87.73790658,1711,85711,21,3
4728,6907,4542 W Cermak,41.85121113,-87.73790658,20300,87260,54B,3
4729,6908,Cermak & Kilbourn,41.851186299999995,-87.73703771,1732,85732,21,3
4730,6909,Cermak & Kostner,41.85125414,-87.73471891,1766,85766,21,3
4731,6910,Cermak & Kolin,41.85128087,-87.73243775,1800,85800,21,3
4732,6911,Cermak & Keeler,41.85132736,-87.72974362,1842,85842,21,3
4733,6912,Cermak & Karlov,41.85135019,-87.72717774,1883,85883,21,3
